trm_4a3fd79d09b6d;"backward masking"
tsk_4a57abb949a33;"Doors and People Test"
tsk_4a57abb949a41;"Edinburgh Handedness Inventory"
tsk_4a57abb949a4f;"Eriksen flanker task"
tsk_4a57abb949a5d;"Extradimensional shift task"
tsk_4a57abb949a6a;"face n-back task"
tsk_4a57abb949a78;"Fagerstrom Test for Nicotine Dependence"
tsk_4a57abb949a85;"Forward digit span task"
tsk_4a57abb949a93;"Go/no-go task"
tsk_4a57abb949aa1;"Gray Oral Reading Test - 4"
tsk_4a57abb949aae;"Hooper Visual Organization Test"
tsk_4a57abb949abc;"immediate recall test"
tsk_4a57abb949aca;"International Affective Picture System"
tsk_4a57abb949ad7;"Intradimensional shift task"
tsk_4a57abb949ae5;"Iowa Gambling Task"
tsk_4a57abb949af3;"Ishihara plates for color blindness"
tsk_4a57abb949b00;"Kanizsa figures"
tsk_4a57abb949b0e;"letter fluency test "
tsk_4a57abb949b1c;"letter n-back task"
tsk_4a57abb949b2b;"Letter naming task"
tsk_4a57abb949b38;"Lexical decision task"
tsk_4a57abb949b46;"matching pennies game "
tsk_4a57abb949b54;"Maudsley Obsessive Compulsive Inventory"
tsk_4a57abb949bb1;"Mini Mental State Examination"
tsk_4a57abb949bbf;"motor sequencing task"
tsk_4a57abb949bcd;"n-back task"
tsk_4a57abb949bdb;"nine-hole peg test"
tsk_4a57abb949be9;"object-discrimination task"
tsk_4a57abb949bf6;"oddball task"
tsk_4a57abb949c04;"Pantomime Task"
tsk_4a57abb949ce9;"Parrott Scale"
tsk_4a57abb949cfb;"picture naming task"
tsk_4a57abb949d09;"Positive and Negative Affect Scale"
tsk_4a57abb949d17;"Posner cueing task"
tsk_4a57abb949d25;"Pseudoword naming task"
tsk_4a57abb949d32;"pyramids and palm trees task"
tsk_4a57abb949d40;"recognition memory test"
tsk_4a57abb949d4e;"reversal learning task"
tsk_4a57abb949d5b;"Risky Gains task"
tsk_4a57abb949d69;"Salthouse and Babcock Listening Span task "
tsk_4a57abb949d76;"selective attention task"
tsk_4a57abb949d84;"semantic anomaly judgement task"
tsk_4a57abb949d92;"semantic association task"
tsk_4a57abb949d9f;"sentence completion test"
tsk_4a57abb949dad;"Set-shifting task"
tsk_4a57abb949dbb;"Simon task"
tsk_4a57abb949dc8;"simple reaction time task"
tsk_4a57abb949dd6;"source memory test"
tsk_4a57abb949de3;"Span/Supra-Span Test"
tsk_4a57abb949df1;"spatial n-back task"
tsk_4a57abb949dfe;"Spielberger's State-Trait Anxiety Questionnaire"
tsk_4a57abb949e0c;"Sternberg delayed recognition task"
tsk_4a57abb949e1a;"stop signal task"
tsk_4a57abb949e27;"Stroop task"
tsk_4a57abb949e35;"Structured Clinical Interview for Diagnostic and
Statistical Manua; of Mental Disorders (DSM-IV) Axis I Disorder"
tsk_4a57abb949e44;"symbol-digit substitution"
tsk_4a57abb949e5b;"Symptom Checklist-90-Revised "
tsk_4a57abb949e7c;"syntactic acceptability judgement task"
tsk_4a57abb949e8a;"task-switching "
tsk_4a57abb949e98;"Temporal discounting task"
tsk_4a57abb949ea5;"Test of Word Reading Efficiency"
tsk_4a57abb949eb3;"Tobacco Craving Questionnaire"
tsk_4a57abb949ec0;"Trail Making Test A and B"
tsk_4a57abb949ece;"Unified Parkinson's Disease Rating Scale"
tsk_4a57abb949edb;"visual alignment task "
tsk_4a57abb949ee9;"visuospatial cueing task"
tsk_4a57abb949ef7;"Warrington's Face/Word Recognition Test"
tsk_4a57abb949f04;"Wechsler Adult Intelligence Scale-Revised"
tsk_4a57abb949f12;"Wechsler Adult Intelligence Scale - Revised"
tsk_4a57abb949f21;"Wisconsin Card Sorting test"
tsk_4a57abb949f2f;"word attack"
tsk_4a57abb949f3d;"Word generation task"
tsk_4a57abb949f4a;"word identification"
trm_4d54b2cc0f943;"Cambridge Gambling Task"
trm_4d54b61a14a14;"Probabilistic gambling task"
trm_4d54b8361e93e;"Behavioral Investment allocation strategy (BIAS)"
trm_4d55997cd3edb;"Non-choice task to study expected value and uncertainty"
trm_4d559bcd67c18;"Balloon Analogue Risk Task (BART)"
trm_4d559d2703bae;"Devils Task"
trm_4d55a2bbcfdff;"Choice task between risky and non-risky options"
trm_4d8a48e403c78;"Inductive reasoning aptitude"
trm_4d949c5b0e380;"Rhyme verification task"
trm_4da4b203ad5ae;"selective stop signal task"
trm_4da6304c9aa23;"attention networks test"
trm_4da630c52c011;"delayed discounting task"
trm_4da63146f12d7;"remember/know task"
trm_4da6318f7381b;"probabilistic reversal learning"
trm_4da631be60291;"Counting Stroop Task"
trm_4da6327154fd4;"scene recognition task"
trm_4da6331cdeeb5;"California Verbal Learning Test"
trm_4da63357e4999;"Wechsler Memory Scale (revised)"
trm_4da6338803ed2;"Wechsler Intelligence Scale for Children - Revised"
trm_4da633dbb5817;"word fluency test"
trm_4da633fe917c4;"color trails test"
trm_4da634216ebbc;"dual-task paradigm"
trm_4da869646e5d1;"item recognition task"
trm_4da869e68b5c4;"memory span test"
trm_4da86ad02b3ea;"complex span test"
trm_4da86b539924c;"spatial span test"
trm_4da86c2a70a7d;"Dot Pattern Expectancy Task"
trm_4da86c6808ddd;"cattell culture fair intelligence test"
trm_4da86c8bb3b04;"letter comparison"
trm_4da86cb034ff6;"pattern comparison"
trm_4da86cdbd9eeb;"test of variables of attention"
trm_4da86cfe8cf1b;"sustained attention to response task"
trm_4da87b8bf1511;"matching familiar figures test"
trm_4da87e439c411;"Tower of London"
trm_4da87e7282f92;"Tower of Hanoi"
trm_4da87e9c79847;"dichotic listening task"
trm_4da87f383435b;"directed forgetting task"
trm_4da87f81bc2c8;"retrieval-induced forgetting task"
trm_4da87fb28978e;"Paced Auditory Serial Addition Test"
trm_4da87fdd7820e;"Porteus maze test"
trm_4da880396c76b;"Rey-Ostereith Complex Figure Test"
trm_4da880ff8fd4a;"Cambridge Neuropsychological Test Automated Battery "
trm_4da881dace79c;"Corsi Blocks"
trm_4da886fc2bc46;"Visual Patterns Test"
trm_4da887bdd8908;"mirror tracing test"
trm_4da8885b33375;"Rivermead Behavioural Memory Test"
trm_4da88a2a63d97;"Paired Associate Learning"
trm_4da88a8e13f26;"Vigilance"
trm_4da88ae0f2952;"Rey Auditory Verbal Learning Task"
trm_4da88b17b985b;"Nonword Repetition Task"
trm_4da88b3b0cbcc;"Response Mapping Task"
trm_4da88b63787d6;"Pursuit Rotor Task"
trm_4da88b8b60ffb;"alternating runs paradigm"
trm_4da88bb3c2462;"object alternation task"
trm_4da88bd4412da;"animal naming task"
trm_4da88bff0507c;"CatBat task"
trm_4da88c205b16b;"Haptic Illusion Task"
trm_4da88c5302e06;"Brixton Spatial Anticipation Test"
trm_4da88c904862b;"Hayling Sentence Completion Test"
trm_4da88cb222308;"Picture Set Test"
trm_4da88ec6735ad;"Uznadze Haptic Illusion Task"
trm_4da890594742a;"emotional regulation task"
trm_4da89077f19ae;"Digit Cancellation Task"
trm_4da89089ce0af;"Zoo Map Test"
trm_4da890a9bd7a3;"Morris Water Maze"
trm_4da890cf99b9e;"Stockings of Cambridge Task"
trm_4da890f978492;"Glasgow Coma Scale"
trm_4da8911e715e3;"Early Social Communications Scales"
trm_4da8914987ee2;"Reynell Developmental Language Scales"
trm_4da891794859f;"MacAuthur Communicative Development Inventory"
trm_4da891a546d8c;"Autism Diagnostic Observation Schedule"
trm_4da891d43240c;"Modified Erikson Scale of Communication Attitudes"
trm_4dadbdd0b2b8c;"delayed response task"
trm_4dadbe225bdf1;"spatial delayed response task"
trm_4dadbfd771a54;"Picture-word Stroop task"
trm_4e31d031bc8c2;"synchrony judgment task"
trm_4e31d69b7f422;"temporal order judgment task"
trm_4e550887d92de;"heat stimulation"
trm_4e5662373bc89;"heat sensitization/adaptation"
trm_4e5bb14d814a8;"Rubber Hand Illusion"
trm_4e5d07565b68e;"mechanical stimulation"
trm_4e5e7ac84c2e5;"Dual Sensitization"
trm_4e5fcd75efb58;"Thermal Grill Illusion"
trm_4e6112759926e;"Tonic pain stimulation"
trm_4e6114e7b1ff2;"Phasic pain stimulation"
trm_4e664d3718e1b;"cold stimulation "
trm_4e68e08950157;"electric stimulation"
trm_4e6a2f61b17b0;"capsaicin-evoked pain"
trm_4e6a44ee854f8;"Cold Pressor test"
trm_4e8a0dd29ec7b;"sequential shape matching"
trm_4e8dd3831f0cc;"deterministic classification"
trm_4e8dd3dfd9fff;"mixed event-related probe"
trm_4eb1f3a8ec119;"Intermodal Preferential Looking Paradigm"
trm_4ebc6a6b75ebf;"tone counting"
trm_4ebc728326a13;"single-task weather prediction "
trm_4ebc98cc77e7b;"dual-task weather prediction"
trm_4ebc9d2e397f2;"classification probe without feedback"
trm_4ebd44cd88360;"Abstract/concrete judgment: Bilingual"
trm_4ebd477ab5a11;"object n-back"
trm_4ebd47b8bab6b;"object one-back task"
trm_4ebd482eba5b1;"word one-back task"
trm_4f23fc8c42d28;"Monetary incentive delay task"
trm_4f240cb09f8e5;"semantic decision task"
trm_4f240d346320c;"covert naming task"
trm_4f240d7664628;"semantic relatedness task"
trm_4f240e7f989f8;"auditory temporal discrimination task"
trm_4f240edf92865;"Mental imagery task"
trm_4f240f1c740da;"verbal fluency task"
trm_4f240fbdf1601;"word comprehension task"
trm_4f241001dfcee;"Letter case judgment task"
trm_4f24108555294;"visually guided saccade task"
trm_4f24112057e90;"categorization task"
trm_4f241173868a3;"navigation task"
trm_4f2411c91ae5e;"recall test"
trm_4f24126c22011;"abstract/concrete task"
trm_4f2412d4c3b88;"semantic classification task"
trm_4f241325579c6;"problem solving task"
trm_4f24135453d65;"spelling task"
trm_4f2414059baa8;"Instrumental learning task"
trm_4f2414a1bab77;"phonetic discrimination task"
trm_4f24154867d84;"logical reasoning task"
trm_4f241614d4a25;"switch task"
trm_4f24179122380;"mental arithmetic task"
trm_4f2417d4a63ae;"random number generation task"
trm_4f24183fe80c6;"verb generation task"
trm_4f24189031a4a;"Cyberball task"
trm_4f24194bce29f;"conjunction search task"
trm_4f2419c4a1646;"Multisource interference task"
trm_4f241ab50513b;"mentalizing task"
trm_4f241b50caaf7;"semantic task"
trm_4f241b751c5a0;"phonological task"
trm_4f241bd52b509;"semantic fluency task"
trm_4f241be43458e;"phonemic fluency task"
trm_4f241c0737cc0;"semantic memory task"
trm_4f241c735e7f6;"serial reaction time task"
trm_4f241c8d4a75c;"gender discrimination task"
trm_4f241d7adf14e;"global-local task"
trm_4f241e8a01052;"sentence comprehension task"
trm_4f241ee9c4e37;"word-picture matching task"
trm_4f241fb95918f;"recency judgment task"
trm_4f241fd47f16b;"passive avoidance task"
trm_4f241fe40a950;"fame judgment task"
trm_4f242042e5805;"Cambridge risk task"
trm_4f2420b042165;"reappraisal task"
trm_4f24211a03b07;"Raven's Advanced Progressive Matrices"
trm_4f242172aea5d;"updating task"
trm_4f2421a62cdf8;"face working memory task"
trm_4f2421c391b83;"object working memory task"
trm_4f24226fa2903;"Fitts task"
trm_4f24237f2ed47;"general knowledge task"
trm_4f24239cc239e;"short-term memory task"
trm_4f24247912761;"face matching task"
trm_4f242499b8952;"target detection task"
trm_4f2424cb392fc;"face-name association task"
trm_4f24250e0137e;"orthographic task"
trm_4f24258b51e2c;"living-nonliving task"
trm_4f24479b0db8f;"phoneme detection task"
trm_4f2447dfa5947;"stop-change task"
trm_4f2447fe67fb9;"visual search task"
trm_4f244860c702c;"prospective memory task"
trm_4f2448d02d4d9;"object naming task"
trm_4f24492504ca0;"contextual cueing task"
trm_4f24496a80587;"gambling task"
trm_4f2449bdcb0b1;"Wason card selection task"
trm_4f244a453522b;"syntactic task"
trm_4f244a67d5b17;"mirror reading task"
trm_4f244a88013ae;"artificial grammar learning task"
trm_4f244ad7dcde7;"random-dot motion task"
trm_4f244c1f6b53f;"color naming task"
trm_4f244d2a54e27;"autobiographical memory task"
trm_4f244d64e45bc;"negative priming task"
trm_4f244f0286947;"analogical reasoning task"
trm_4f244f46ebf58;"rapid serial visual presentation task"
trm_4f244f997615c;"bimanual coordination task"
trm_4f244fee7d195;"multi-attribute decision making task"
trm_4f2452adb7d23;"odd-even task"
trm_4f245326e2eaf;"biological motion task"
trm_4f2453b806fe1;"spatial working memory task"
trm_4f2453ce33f16;"social judgment task"
trm_4f2454dfca337;"relational reasoning task"
trm_4f24550fc5f38;"prototype distortion task"
trm_4f2456027809f;"false belief task"
trm_4f2456932f11b;"shadowing task"
trm_4f24572cb42e4;"parity judgment task"
trm_4f2457454e458;"numerosity estimation task"
trm_4f2457a8b0bc8;"verbal working memory task"
trm_4f2457d94fd93;"memory guided saccade task"
